collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
Norfolk State,USA,1990-03-26,Kyle,6,10,2.08,1,9,Norfolk State/USA,O'Quinn,2012,203124,C,1610612755,"O'Quinn, Kyle",113.4,250,7
Southern Methodist,USA,1994-12-05,Semi,6,7,2.01,1,37,Southern Methodist/USA,Ojeleye,2017,1628400,F,1610612738,"Ojeleye, Semi",109.3,241,2
Duke,USA,1995-12-15,Jahlil,6,11,2.11,1,8,Duke/USA,Okafor,2015,1626143,C,1610612740,"Okafor, Jahlil",124.7,275,4
Auburn University,USA,1998-08-18,Chuma,6,8,2.03,1,3,Auburn University/USA,Okeke,,1629643,F,1610612753,"Okeke, Chuma",104.3,230,0
 ,France,1997-10-23,Elie,6,3,1.9,1,2,France/France,Okobo,2018,1629059,F,1610612756,"Okobo, Elie",86.2,190,1
Georgia Institute of Technology,Nigeria,1998-09-01,Josh,6,4,1.93,1,20,Georgia Institute of Technology/Nigeria,Okogie,2018,1629006,G,1610612750,"Okogie, Josh",96.2,212,1
Stanford University,USA,1999-04-28,KZ,6,9,2.06,1,4,Stanford University/USA,Okpala,,1629644,F,1610612748,"Okpala, KZ",95.3,210,0
Indiana,USA,1992-05-04,Victor,6,4,1.93,1,4,Indiana/USA,Oladipo,2013,203506,G,1610612754,"Oladipo, Victor",95.3,210,6
Gonzaga,Canada,1991-04-19,Kelly,7,0,2.13,1,9,Gonzaga/Canada,Olynyk,2013,203482,F,1610612748,"Olynyk, Kelly",108.9,240,6
Yale University,USA,1997-08-04,Miye,6,6,1.98,1,,Yale University/USA,Oni,,1629671,G,1610612762,"Oni, Miye",93.4,206,0
 ,Turkey,1995-04-08,Cedi,6,8,2.03,1,16,Anadolu Efes/Turkey,Osman,2017,1626224,F,1610612739,"Osman, Cedi",97.5,215,2
Kansas,USA,1995-12-09,Kelly,6,7,2.01,1,3,Kansas/USA,Oubre Jr.,2015,1626162,F,1610612756,"Oubre Jr., Kelly",93.0,205,4
Duke,USA,1995-03-15,Jabari,6,8,2.03,1,5,Duke/USA,Parker,2014,203953,F,1610612737,"Parker, Jabari",111.1,245,5
Florida,USA,1988-10-25,Chandler,6,10,2.08,1,,Florida/USA,Parsons,2011,202718,F,1610612737,"Parsons, Chandler",104.3,230,8
